"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","324263"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","336104"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","147892"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","149116"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","152008"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","152237"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","158420"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","58439"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","60124"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","56964"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","59419"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","63862"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37575"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37425"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37639"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37404"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37670"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","3455"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","3530"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","3609"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","3903"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","4022"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Palangos m. sav.","Miestas ir kaimas","asmenys","15664"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Palangos m. sav.","Miestas ir kaimas","asmenys","16038"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Palangos m. sav.","Miestas ir kaimas","asmenys","16746"
